"Notes","State","State Code","Year","Year Code",Births
,"South Carolina","45","2007","2007",62875
,"South Carolina","45","2008","2008",63071
,"South Carolina","45","2009","2009",60620
,"South Carolina","45","2010","2010",58342
,"South Carolina","45","2011","2011",57393
,"South Carolina","45","2012","2012",57155
,"South Carolina","45","2013","2013",56795
,"South Carolina","45","2014","2014",57627
,"South Carolina","45","2015","2015",58139
,"South Carolina","45","2016","2016",57342
,"South Carolina","45","2017","2017",57029
,"South Carolina","45","2018","2018",56669
,"South Carolina","45","2019","2019",57038
,"South Carolina","45","2020","2020",55704
,"South Carolina","45","2021","2021",57185
,"South Carolina","45","2022","2022",57820
,"South Carolina","45","2023","2023",57729
,"South Carolina","45","2024","2024",58768
"Total","South Carolina","45",,,1047301
,"South Dakota","46","2007","2007",12261
,"South Dakota","46","2008","2008",12071
,"South Dakota","46","2009","2009",11934
,"South Dakota","46","2010","2010",11811
,"South Dakota","46","2011","2011",11846
,"South Dakota","46","2012","2012",12104
,"South Dakota","46","2013","2013",12248
,"South Dakota","46","2014","2014",12283
,"South Dakota","46","2015","2015",12336
,"South Dakota","46","2016","2016",12275
,"South Dakota","46","2017","2017",12134
,"South Dakota","46","2018","2018",11893
,"South Dakota","46","2019","2019",11449
,"South Dakota","46","2020","2020",10960
,"South Dakota","46","2021","2021",11369
,"South Dakota","46","2022","2022",11201
,"South Dakota","46","2023","2023",11201
,"South Dakota","46","2024","2024",11451
"Total","South Dakota","46",,,212827
,"Tennessee","47","2007","2007",86711
,"Tennessee","47","2008","2008",85560
,"Tennessee","47","2009","2009",82211
,"Tennessee","47","2010","2010",79495
,"Tennessee","47","2011","2011",79588
,"Tennessee","47","2012","2012",80371
,"Tennessee","47","2013","2013",79992
,"Tennessee","47","2014","2014",81602
,"Tennessee","47","2015","2015",81685
,"Tennessee","47","2016","2016",80807
,"Tennessee","47","2017","2017",81016
,"Tennessee","47","2018","2018",80751
,"Tennessee","47","2019","2019",80450
,"Tennessee","47","2020","2020",78689
,"Tennessee","47","2021","2021",81717
,"Tennessee","47","2022","2022",82265
,"Tennessee","47","2023","2023",83021
,"Tennessee","47","2024","2024",83833
"Total","Tennessee","47",,,1469764
,"Texas","48","2007","2007",407625
,"Texas","48","2008","2008",405554
,"Texas","48","2009","2009",401977
,"Texas","48","2010","2010",386118
,"Texas","48","2011","2011",377445
,"Texas","48","2012","2012",382727
,"Texas","48","2013","2013",387340
,"Texas","48","2014","2014",399766
,"Texas","48","2015","2015",403618
,"Texas","48","2016","2016",398047
,"Texas","48","2017","2017",382050
,"Texas","48","2018","2018",378624
,"Texas","48","2019","2019",377599
,"Texas","48","2020","2020",368190
,"Texas","48","2021","2021",373594
,"Texas","48","2022","2022",389741
,"Texas","48","2023","2023",387945
,"Texas","48","2024","2024",390828
"Total","Texas","48",,,6998788
,"Utah","49","2007","2007",55130
,"Utah","49","2008","2008",55634
,"Utah","49","2009","2009",53887
,"Utah","49","2010","2010",52258
,"Utah","49","2011","2011",51223
,"Utah","49","2012","2012",51465
,"Utah","49","2013","2013",50957
,"Utah","49","2014","2014",51154
,"Utah","49","2015","2015",50778
,"Utah","49","2016","2016",50464
,"Utah","49","2017","2017",48585
,"Utah","49","2018","2018",47209
,"Utah","49","2019","2019",46826
,"Utah","49","2020","2020",45702
,"Utah","49","2021","2021",46712
,"Utah","49","2022","2022",45768
,"Utah","49","2023","2023",45019
,"Utah","49","2024","2024",46664
"Total","Utah","49",,,895435
,"Vermont","50","2007","2007",6513
,"Vermont","50","2008","2008",6339
,"Vermont","50","2009","2009",6110
,"Vermont","50","2010","2010",6223
,"Vermont","50","2011","2011",6078
,"Vermont","50","2012","2012",6009
,"Vermont","50","2013","2013",5975
,"Vermont","50","2014","2014",6130
,"Vermont","50","2015","2015",5903
,"Vermont","50","2016","2016",5756
,"Vermont","50","2017","2017",5655
,"Vermont","50","2018","2018",5432
,"Vermont","50","2019","2019",5361
,"Vermont","50","2020","2020",5133
,"Vermont","50","2021","2021",5384
,"Vermont","50","2022","2022",5316
,"Vermont","50","2023","2023",5065
,"Vermont","50","2024","2024",5023
"Total","Vermont","50",,,103405
,"Virginia","51","2007","2007",108884
,"Virginia","51","2008","2008",106686
,"Virginia","51","2009","2009",105059
,"Virginia","51","2010","2010",103002
,"Virginia","51","2011","2011",102652
,"Virginia","51","2012","2012",103013
,"Virginia","51","2013","2013",102147
,"Virginia","51","2014","2014",103300
,"Virginia","51","2015","2015",103303
,"Virginia","51","2016","2016",102460
,"Virginia","51","2017","2017",100391
,"Virginia","51","2018","2018",99843
,"Virginia","51","2019","2019",97429
,"Virginia","51","2020","2020",94749
,"Virginia","51","2021","2021",95825
,"Virginia","51","2022","2022",95630
,"Virginia","51","2023","2023",92649
,"Virginia","51","2024","2024",94054
"Total","Virginia","51",,,1811076
,"Washington","53","2007","2007",88978
,"Washington","53","2008","2008",90321
,"Washington","53","2009","2009",89313
,"Washington","53","2010","2010",86539
,"Washington","53","2011","2011",86976
,"Washington","53","2012","2012",87463
,"Washington","53","2013","2013",86577
,"Washington","53","2014","2014",88585
,"Washington","53","2015","2015",88990
,"Washington","53","2016","2016",90505
,"Washington","53","2017","2017",87562
,"Washington","53","2018","2018",86085
,"Washington","53","2019","2019",84895
,"Washington","53","2020","2020",83086
,"Washington","53","2021","2021",83911
,"Washington","53","2022","2022",83333
,"Washington","53","2023","2023",80932
,"Washington","53","2024","2024",83118
"Total","Washington","53",,,1557169
,"West Virginia","54","2007","2007",21994
,"West Virginia","54","2008","2008",21501
,"West Virginia","54","2009","2009",21268
,"West Virginia","54","2010","2010",20470
,"West Virginia","54","2011","2011",20717
,"West Virginia","54","2012","2012",20827
,"West Virginia","54","2013","2013",20825
,"West Virginia","54","2014","2014",20301
,"West Virginia","54","2015","2015",19805
,"West Virginia","54","2016","2016",19079
,"West Virginia","54","2017","2017",18675
,"West Virginia","54","2018","2018",18248
,"West Virginia","54","2019","2019",18136
,"West Virginia","54","2020","2020",17323
,"West Virginia","54","2021","2021",17198
,"West Virginia","54","2022","2022",16929
,"West Virginia","54","2023","2023",16606
,"West Virginia","54","2024","2024",17022
"Total","West Virginia","54",,,346924
,"Wisconsin","55","2007","2007",72784
,"Wisconsin","55","2008","2008",72261
,"Wisconsin","55","2009","2009",70843
,"Wisconsin","55","2010","2010",68487
,"Wisconsin","55","2011","2011",67810
,"Wisconsin","55","2012","2012",67295
,"Wisconsin","55","2013","2013",66649
,"Wisconsin","55","2014","2014",67161
,"Wisconsin","55","2015","2015",67041
,"Wisconsin","55","2016","2016",66615
,"Wisconsin","55","2017","2017",64975
,"Wisconsin","55","2018","2018",64098
,"Wisconsin","55","2019","2019",63270
,"Wisconsin","55","2020","2020",60594
,"Wisconsin","55","2021","2021",61781
,"Wisconsin","55","2022","2022",60049
,"Wisconsin","55","2023","2023",59754
,"Wisconsin","55","2024","2024",59686
"Total","Wisconsin","55",,,1181153
,"Wyoming","56","2007","2007",7893
,"Wyoming","56","2008","2008",8038
,"Wyoming","56","2009","2009",7881
,"Wyoming","56","2010","2010",7556
,"Wyoming","56","2011","2011",7399
,"Wyoming","56","2012","2012",7572
,"Wyoming","56","2013","2013",7644
,"Wyoming","56","2014","2014",7696
,"Wyoming","56","2015","2015",7765
,"Wyoming","56","2016","2016",7386
,"Wyoming","56","2017","2017",6903
,"Wyoming","56","2018","2018",6562
,"Wyoming","56","2019","2019",6565
,"Wyoming","56","2020","2020",6128
,"Wyoming","56","2021","2021",6237
,"Wyoming","56","2022","2022",6049
,"Wyoming","56","2023","2023",5990
,"Wyoming","56","2024","2024",6089
"Total","Wyoming","56",,,127353
"Total",,,,,70010438
"---"
"Dataset: Natality, 2007-2024"
"Query Parameters:"
"Group By: State; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality.html for more information."
"---"
"Query Date: Apr 9, 2026 12:01:06 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-current.html on Apr 9, 2026 12:01:06 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
